Year,ZipCode,Gender,Count
2012,91316,Female,107
2012,91320,Male,105
2012,91320,Female,127
2012,91321,Male,134
2012,91321,Female,126
2012,91324,Male,97
2012,91324,Female,100
2012,91325,Male,103
2012,91325,Female,115
2012,91326,Male,97
2012,91326,Female,110
2012,91331,Male,193
2012,91331,Female,184
2012,91335,Male,222
2012,91335,Female,295
2012,91340,Male,72
2012,91340,Female,68
2012,91342,Male,306
2012,91342,Female,213
2012,91343,Male,141
2012,91343,Female,145
2012,91344,Male,194
2012,91344,Female,200
2012,91345,Male,74
2012,91345,Female,80
2012,91350,Male,73
2012,91350,Female,63
2012,91351,Male,88
2012,91351,Female,83
2012,91352,Male,132
2012,91352,Female,98
2012,91354,Male,41
2012,91354,Female,52
2012,91355,Male,87
2012,91355,Female,95
2012,91356,Male,118
2012,91356,Female,109
2012,91360,Male,184
2012,91360,Female,224
2012,91361,Male,84
2012,91361,Female,100
2012,91362,Male,94
2012,91362,Female,106
2012,91364,Male,113
2012,91364,Female,141
2012,91367,Male,161
2012,91367,Female,141
2012,91377,Male,25
2012,91377,Female,30
2012,91381,Male,31
2012,91381,Female,32
2012,91384,Male,49
2012,91384,Female,34
2012,91387,Male,84
2012,91387,Female,74
2012,91390,Male,56
2012,91390,Female,38
2012,91401,Male,108
2012,91401,Female,133
2012,91402,Male,131
2012,91402,Female,151
2012,91403,Male,70
2012,91403,Female,84
2012,91405,Male,146
2012,91405,Female,144
2012,91406,Male,127
2012,91406,Female,142
2012,91411,Male,79
2012,91411,Female,98
2012,91423,Male,100
2012,91423,Female,95
2012,91436,Male,66
2012,91436,Female,60
2012,91501,Male,61
2012,91501,Female,66
2012,91502,Male,37
2012,91502,Female,48
2012,91504,Male,83
2012,91504,Female,95
2012,91505,Male,119
2012,91505,Female,97
2012,91506,Male,59
2012,91506,Female,97
2012,91601,Male,87
2012,91601,Female,69
2012,91602,Male,47
2012,91602,Female,52
2012,91604,Male,103
2012,91604,Female,100
2012,91605,Male,164
2012,91605,Female,105
2012,91606,Male,133
2012,91606,Female,133
2012,91607,Male,94
2012,91607,Female,110
2012,91701,Male,121
2012,91701,Female,135
2012,91702,Male,164
2012,91702,Female,148
2012,91706,Male,175
2012,91706,Female,177
2012,91708,Male,4
2012,91708,Female,2
2012,91709,Male,137
2012,91709,Female,127
2012,91710,Male,214
2012,91710,Female,151
2012,91711,Male,147
2012,91711,Female,185
2012,91722,Male,95
2012,91722,Female,98
2012,91723,Male,55
2012,91723,Female,75
2012,91724,Male,86
2012,91724,Female,105
2012,91730,Male,163
2012,91730,Female,153
2012,91731,Male,96
2012,91731,Female,88
2012,91732,Male,147
2012,91732,Female,146
2012,91733,Male,101
2012,91733,Female,99
2012,91737,Male,61
2012,91737,Female,58
2012,91739,Male,71
2012,91739,Female,51
2012,91740,Male,115
2012,91740,Female,126
2012,91741,Male,102
2012,91741,Female,104
2012,91744,Male,189
2012,91744,Female,172
2012,91745,Male,196
2012,91745,Female,165
2012,91746,Male,80
2012,91746,Female,66
2012,91748,Male,122
2012,91748,Female,110
2012,91750,Male,145
2012,91750,Female,167
2012,91752,Male,96
2012,91752,Female,80
2012,91754,Male,165
2012,91754,Female,138
2012,91755,Male,94
2012,91755,Female,85
2012,91761,Male,105
2012,91761,Female,99
2012,91762,Male,177
2012,91762,Female,157
2012,91763,Male,97
2012,91763,Female,100
2012,91764,Male,114
2012,91764,Female,122
2012,91765,Male,107
2012,91765,Female,113
2012,91766,Male,161
2012,91766,Female,123
2012,91767,Male,137
2012,91767,Female,131
2012,91768,Male,99
2012,91768,Female,89
2012,91769,Male,3
2012,91769,Female,2
2012,91770,Male,189
2012,91770,Female,191
2012,91773,Male,136
2012,91773,Female,144
2012,91775,Male,91
2012,91775,Female,93
2012,91776,Male,124
2012,91776,Female,139
2012,91780,Male,111
2012,91780,Female,160
2012,91784,Male,105
2012,91784,Female,82
2012,91786,Male,200
2012,91786,Female,198
2012,91789,Male,107
2012,91789,Female,109
2012,91790,Male,150
2012,91790,Female,158
2012,91791,Male,105
